Age,Budget,Interet,Duree,Climat,Type_Voyage,Saison,Nationalite,Activite,Destination
52,,Cultuer,17,Désertique,Famille,Printemps,Brésilien,Photographie,
52,,Cultuer,17,Désertique,Famille,Printemps,Brésilien,Photographie,Santorin
44,4984.0,Shopping,11,Froid,Solo,Printemps,Britannique,Architecture,Reykjavik
26,7376.0,Shopping,16,Chaud,Famille,Été,Australien,Musée,Paris
32,6441.0,Ville,14,Tempéré,Famille,Hiver,Brésilien,Romance,New York
54,3231.0,Aventure,20,Chaud,Solo,Hiver,Japonais,Ski,Queenstown
46,2406.0,Nature,18,Chaud,Famille,Hiver,Canadien,Musique,Vienne
53,6844.0,Ville,9,Désertique,Famille,Printemps,Canadien,Romance,Dubai
68,3339.0,Ville,16,Froid,Amis,Hiver,Australien,Musique,Amsterdam
48,5429.0,Nature,16,Tempéré,Famille,Automne,Brésilien,Ski,Le Cap
38,1710.0,Histoire,19,Chaud,Solo,Automne,Britannique,Architecture,Barcelone
18,1518.0,Cultuer,11,Chaud,Solo,Été,Américain,Romance,Bali
45,6272.0,Histoire,15,Tempéré,Couple,Automne,Canadien,Carnaval,Kyoto
46,6298.0,Gastronomie,13,Froid,Amis,Automne,Brésilien,Opéra,Sydney
23,6500.0,Gastronomie,12,Tempéré,Solo,Été,Australien,Tango,Buenos Aires
36,1741.0,Culture,20,Désertique,Couple,Été,Allemand,Shopping,Marrakech
36,6769.0,Nature,10,Désertique,Famille,Automne,Français,Carnaval,Reykjavik
25,2876.0,Gastronomie,9,Chaud,Famille,Printemps,Brésilien,Musée,Paris
33,2582.0,Histoire,14,Froid,Couple,Automne,Australien,Opéra,Berlin
18,4443.0,Culture,10,Désertique,Couple,Hiver,Français,Romance,Venise
54,4484.0,Ville,14,Désertique,Amis,Hiver,Français,Carnaval,Dubai
55,,Cultuer,15,Tempéré,Solo,Automne,Japonais,Musique,Vienne
66,1056.0,Aventure,20,Tempéré,Amis,Été,Britannique,Aurores boréales,Machu Picchu
37,6533.0,Ville,3,Tempéré,Solo,Automne,Américain,Carnaval,New York
56,2584.0,Nature,7,Désertique,Famille,Été,Brésilien,Tango,Buenos Aires
69,3558.0,Gastronomie,3,Tempéré,Famille,Automne,Japonais,Opéra,Sydney
38,4119.0,Ville,7,Chaud,Amis,Été,Indien,Architecture,Sydney
28,6141.0,Shopping,14,Tempéré,Famille,Printemps,Japonais,Opéra,Sydney
65,4339.0,Shopping,7,Chaud,Couple,Printemps,Américain,Surf,Bali
68,3078.0,Culture,8,Chaud,Solo,Hiver,Japonais,Tango,Buenos Aires
69,3254.0,Nature,4,Chaud,Famille,Printemps,Canadien,Aurores boréales,Reykjavik
35,5069.0,Cultuer,20,Chaud,Amis,Hiver,Chinois,Gastronomie,Bangkok
38,2500.0,Nature,8,Froid,Amis,Hiver,Brésilien,Ski,Reykjavik
52,1525.0,Plage,4,Tempéré,Solo,Automne,Indien,Histoire,Mexico
51,5219.0,Ville,6,Froid,Famille,Hiver,Allemand,Aurores boréales,Londres
33,6022.0,Culture,9,Chaud,Couple,Hiver,Britannique,Architecture,Rome
69,4335.0,Aventure,14,Chaud,Solo,Printemps,Canadien,Surf,Bali
39,7274.0,Ville,5,Désertique,Solo,Été,Japonais,Surf,Dubai
58,5130.0,Gastronomie,14,Chaud,Amis,Été,Indien,Gastronomie,Bangkok
51,3766.0,Aventure,7,Tempéré,Amis,Hiver,Américain,Carnaval,Machu Picchu
35,7598.0,Culture,15,Chaud,Amis,Été,Canadien,Romance,Venise
53,,Cultuer,3,Chaud,Amis,Printemps,Brésilien,Histoire,Rome
40,2172.0,Nature,15,Tempéré,Couple,Printemps,Australien,Musique,Le Cap
43,4182.0,Histoire,7,Froid,Amis,Printemps,Chinois,Aurores boréales,Reykjavik
18,3029.0,Shopping,11,Tempéré,Couple,Hiver,Allemand,Shopping,New York
34,5481.0,Ville,7,Chaud,Couple,Hiver,Brésilien,Surf,Sydney
52,2414.0,Histoire,11,Chaud,Famille,Été,Brésilien,Surf,Bali
37,1980.0,Aventure,20,Tempéré,Couple,Printemps,Américain,Musée,Machu Picchu
33,2022.0,Aventure,4,Désertique,Couple,Hiver,Australien,Carnaval,Rio de Janeiro
42,4932.0,Aventure,19,Chaud,Amis,Printemps,Japonais,Opéra,Sydney
23,6422.0,Nature,19,Désertique,Amis,Été,Australien,Ski,Reykjavik
49,6276.0,Cultuer,19,Tempéré,Famille,Hiver,Britannique,Ski,
49,6276.0,Cultuer,19,Tempéré,Famille,Hiver,Britannique,Ski,Queenstown
26,2560.0,Nature,14,Tempéré,Famille,Été,Allemand,Tango,Buenos Aires
33,1326.0,Shopping,19,Chaud,Couple,Été,Chinois,Romance,Marrakech
20,5167.0,Histoire,19,Désertique,Amis,Automne,Chinois,Musée,Londres
26,6022.0,Shopping,8,Désertique,Couple,Automne,Britannique,Gastronomie,Tokyo
67,6410.0,Nature,3,Tempéré,Amis,Automne,Britannique,Carnaval,Le Cap
37,7959.0,Culture,19,Désertique,Couple,Printemps,Allemand,Opéra,Tokyo
20,6393.0,Histoire,20,Désertique,Famille,Hiver,Américain,Histoire,Kyoto
40,3154.0,Ville,8,Tempéré,Famille,Hiver,Allemand,Shopping,New York
25,1299.0,Aventure,19,Tempéré,Amis,Automne,Brésilien,Musique,Machu Picchu
32,,Cultuer,10,Froid,Famille,Automne,Français,Ski,Queenstown
45,4599.0,Gastronomie,19,Chaud,Solo,Été,Britannique,Tango,Sydney
39,4601.0,Histoire,14,Froid,Famille,Printemps,Australien,Gastronomie,Reykjavik
62,6123.0,Plage,4,Froid,Amis,Hiver,Britannique,Opéra,Sydney
33,1184.0,Aventure,3,Désertique,Amis,Automne,Brésilien,Carnaval,Rio de Janeiro
41,3507.0,Aventure,3,Chaud,Famille,Printemps,Britannique,Shopping,Machu Picchu
38,6273.0,Shopping,8,Froid,Amis,Automne,Chinois,Randonnée,Queenstown
35,5366.0,Shopping,20,Désertique,Solo,Hiver,Chinois,Histoire,Kyoto
39,7028.0,Ville,19,Froid,Couple,Hiver,Britannique,Aurores boréales,Londres
63,3880.0,Shopping,3,Désertique,Famille,Été,Japonais,Carnaval,Rio de Janeiro
57,5121.0,Cultuer,9,Chaud,Couple,Printemps,Chinois,Randonnée,Le Cap
29,3423.0,Ville,13,Tempéré,Famille,Automne,Français,Opéra,Sydney
38,3713.0,Gastronomie,17,Désertique,Couple,Été,Australien,Opéra,Sydney
49,3753.0,Nature,9,Chaud,Famille,Automne,Canadien,Carnaval,Le Cap
26,1020.0,Histoire,7,Désertique,Famille,Été,Chinois,Surf,Bali
44,4326.0,Ville,14,Chaud,Couple,Hiver,Britannique,Gastronomie,Bangkok
19,3466.0,Histoire,15,Froid,Famille,Printemps,Brésilien,Musée,Londres
18,4595.0,Aventure,11,Tempéré,Famille,Automne,Allemand,Carnaval,Machu Picchu
45,3298.0,Culture,4,Froid,Famille,Automne,Américain,Ski,Vienne
38,1596.0,Culture,16,Désertique,Amis,Été,Français,Tango,Buenos Aires
36,,Cultuer,15,Désertique,Famille,Automne,Brésilien,Gastronomie,Tokyo
40,2700.0,Shopping,12,Désertique,Famille,Printemps,Américain,Ski,Queenstown
24,4301.0,Plage,18,Tempéré,Solo,Automne,Canadien,Opéra,Santorin
60,3608.0,Ville,18,Froid,Amis,Été,Indien,Ski,Londres
51,3993.0,Histoire,6,Chaud,Amis,Automne,Japonais,Opéra,Sydney
34,3913.0,Nature,6,Tempéré,Solo,Printemps,Canadien,Gastronomie,Le Cap
67,7014.0,Histoire,9,Froid,Amis,Automne,Français,Randonnée,Machu Picchu
40,1156.0,Aventure,14,Désertique,Famille,Été,Américain,Gastronomie,Hanoï
25,5782.0,Ville,4,Désertique,Couple,Automne,Chinois,Randonnée,Dubai
49,3959.0,Ville,11,Désertique,Amis,Été,Britannique,Musique,Dubai
68,1258.0,Cultuer,14,Chaud,Solo,Printemps,Brésilien,Ski,Marrakech
68,5447.0,Shopping,5,Tempéré,Amis,Hiver,Japonais,Aurores boréales,Reykjavik
24,4743.0,Plage,18,Froid,Solo,Automne,Brésilien,Ski,Queenstown
31,5779.0,Nature,7,Froid,Amis,Hiver,Australien,Histoire,Reykjavik
55,7260.0,Aventure,18,Froid,Amis,Hiver,Britannique,Surf,Queenstown
63,5381.0,Nature,3,Froid,Famille,Printemps,Français,Aurores boréales,Reykjavik
30,4415.0,Shopping,6,Désertique,Solo,Hiver,Allemand,Musique,Vienne
57,7790.0,Gastronomie,5,Désertique,Couple,Automne,Français,Aurores boréales,Dubai
36,4511.0,Shopping,8,Tempéré,Couple,Hiver,Australien,Carnaval,Le Cap
56,2515.0,Aventure,12,Tempéré,Solo,Printemps,Canadien,Architecture,Machu Picchu
60,,Cultuer,8,Désertique,Solo,Automne,Allemand,Romance,
60,,Cultuer,8,Désertique,Solo,Automne,Allemand,Romance,Venise
25,5962.0,Shopping,6,Tempéré,Famille,Printemps,Australien,Aurores boréales,Reykjavik
34,5779.0,Plage,4,Chaud,Couple,Printemps,Britannique,Romance,Santorin
36,6241.0,Shopping,4,Tempéré,Amis,Hiver,Américain,Musée,Paris
24,1451.0,Culture,18,Chaud,Famille,Automne,Australien,Opéra,Hanoï
56,3110.0,Ville,12,Tempéré,Amis,Printemps,Français,Aurores boréales,Lisbonne
64,5995.0,Plage,9,Chaud,Solo,Printemps,Japonais,Histoire,Santorin
35,4371.0,Shopping,13,Froid,Famille,Hiver,Français,Aurores boréales,Reykjavik
19,4132.0,Histoire,19,Chaud,Couple,Automne,Brésilien,Romance,Venise
20,7878.0,Histoire,9,Froid,Famille,Printemps,Américain,Tango,Buenos Aires
33,7489.0,Cultuer,10,Froid,Couple,Hiver,Allemand,Photographie,Santorin
69,4130.0,Gastronomie,20,Désertique,Famille,Hiver,Japonais,Shopping,Dubai
50,4403.0,Shopping,10,Tempéré,Solo,Été,Brésilien,Ski,Queenstown
61,7559.0,Ville,7,Froid,Couple,Automne,Indien,Ski,Londres
61,1860.0,Gastronomie,10,Désertique,Solo,Hiver,Canadien,Gastronomie,Bangkok
38,7944.0,Shopping,10,Désertique,Famille,Automne,Canadien,Histoire,Kyoto
62,2708.0,Aventure,7,Désertique,Couple,Automne,Français,Aurores boréales,Machu Picchu
36,6543.0,Culture,5,Chaud,Couple,Printemps,Canadien,Opéra,Rome
36,1337.0,Aventure,4,Froid,Amis,Hiver,Indien,Gastronomie,Queenstown
49,5488.0,Histoire,9,Froid,Couple,Automne,Chinois,Carnaval,Queenstown
58,,Cultuer,10,Chaud,Amis,Hiver,Chinois,Ski,Queenstown
49,7527.0,Aventure,13,Chaud,Solo,Automne,Français,Histoire,Rome
34,7088.0,Nature,12,Désertique,Couple,Printemps,Américain,Musique,Reykjavik
31,7417.0,Gastronomie,9,Froid,Amis,Hiver,Japonais,Tango,Buenos Aires
20,7147.0,Plage,10,Désertique,Solo,Été,Américain,Shopping,Dubai
28,5637.0,Gastronomie,16,Froid,Couple,Printemps,Indien,Shopping,New York
40,4946.0,Culture,4,Tempéré,Amis,Printemps,Américain,Architecture,Venise
66,6018.0,Nature,15,Tempéré,Couple,Automne,Allemand,Histoire,Kyoto
62,1003.0,Ville,8,Froid,Solo,Hiver,Chinois,Musée,Amsterdam
24,7898.0,Plage,11,Désertique,Couple,Automne,Canadien,Aurores boréales,Bali
58,5491.0,Cultuer,20,Chaud,Amis,Automne,Allemand,Carnaval,Rio de Janeiro
30,5410.0,Aventure,3,Désertique,Solo,Printemps,Allemand,Musique,Queenstown
42,7630.0,Ville,14,Froid,Amis,Été,Brésilien,Gastronomie,Bangkok
32,1074.0,Plage,5,Désertique,Couple,Hiver,Australien,Shopping,Bali
57,5727.0,Plage,3,Désertique,Amis,Printemps,Indien,Architecture,Barcelone
47,6273.0,Shopping,18,Tempéré,Couple,Printemps,Français,Carnaval,Kyoto
34,5661.0,Plage,8,Désertique,Solo,Été,Chinois,Shopping,Dubai
38,5738.0,Ville,12,Tempéré,Famille,Automne,Brésilien,Gastronomie,Lisbonne
20,1503.0,Gastronomie,11,Désertique,Solo,Automne,Canadien,Tango,Buenos Aires
53,6592.0,Plage,8,Froid,Solo,Hiver,Japonais,Musique,Vienne
19,,Cultuer,4,Froid,Amis,Printemps,Japonais,Musée,Londres
29,4716.0,Ville,10,Désertique,Solo,Été,Indien,Surf,Dubai
38,1479.0,Culture,16,Tempéré,Solo,Printemps,Américain,Carnaval,Mexico
35,2785.0,Shopping,14,Chaud,Couple,Automne,Australien,Tango,Buenos Aires
62,3890.0,Aventure,15,Désertique,Couple,Automne,Américain,Gastronomie,Machu Picchu
62,5314.0,Culture,17,Froid,Famille,Hiver,Britannique,Ski,Queenstown
54,5698.0,Culture,11,Tempéré,Couple,Été,Chinois,Musique,Kyoto
50,3419.0,Gastronomie,17,Tempéré,Couple,Hiver,Français,Randonnée,Machu Picchu
51,2747.0,Aventure,16,Froid,Amis,Été,Français,Histoire,Berlin
35,6384.0,Aventure,15,Tempéré,Famille,Hiver,Japonais,Opéra,Machu Picchu
43,4842.0,Cultuer,11,Froid,Couple,Automne,Canadien,Gastronomie,
43,4842.0,Cultuer,11,Froid,Couple,Automne,Canadien,Gastronomie,Reykjavik
19,4270.0,Nature,9,Désertique,Famille,Été,Français,Romance,Reykjavik
49,7110.0,Nature,7,Chaud,Solo,Été,Brésilien,Photographie,Santorin
57,6268.0,Culture,9,Tempéré,Amis,Été,Japonais,Opéra,Kyoto
23,6437.0,Shopping,9,Froid,Solo,Printemps,Américain,Ski,Queenstown
32,6275.0,Nature,18,Désertique,Solo,Automne,Indien,Musique,Reykjavik
43,3800.0,Aventure,9,Tempéré,Amis,Été,Japonais,Opéra,Machu Picchu
38,3706.0,Plage,14,Tempéré,Famille,Automne,Allemand,Musique,Santorin
31,3807.0,Culture,16,Désertique,Couple,Printemps,Français,Carnaval,Venise
28,6472.0,Shopping,7,Froid,Famille,Printemps,Britannique,Gastronomie,Tokyo
26,,Cultuer,11,Désertique,Solo,Automne,Australien,Gastronomie,Tokyo
67,7025.0,Gastronomie,9,Tempéré,Couple,Printemps,Français,Romance,Venise
37,5780.0,Ville,10,Tempéré,Famille,Hiver,Allemand,Histoire,New York
24,7213.0,Culture,7,Tempéré,Amis,Printemps,Brésilien,Photographie,Tokyo
52,6747.0,Culture,10,Chaud,Amis,Printemps,Français,Architecture,Rome
43,3817.0,Nature,20,Froid,Amis,Été,Canadien,Photographie,Reykjavik
59,4264.0,Nature,14,Chaud,Solo,Été,Chinois,Shopping,Reykjavik
27,2885.0,Gastronomie,6,Désertique,Amis,Printemps,Brésilien,Ski,Queenstown
60,7098.0,Nature,7,Tempéré,Solo,Printemps,Indien,Surf,Le Cap
36,3441.0,Histoire,14,Froid,Solo,Automne,Américain,Musée,Londres
39,6162.0,Cultuer,19,Désertique,Famille,Printemps,Britannique,Shopping,Dubai
31,3873.0,Histoire,19,Désertique,Amis,Printemps,Chinois,Carnaval,Rio de Janeiro
20,7158.0,Plage,15,Chaud,Solo,Automne,Canadien,Carnaval,Rio de Janeiro
31,1408.0,Gastronomie,20,Désertique,Couple,Hiver,Brésilien,Gastronomie,Hanoï
63,1515.0,Ville,18,Chaud,Solo,Automne,Chinois,Carnaval,Bangkok
40,5397.0,Nature,4,Tempéré,Couple,Hiver,Canadien,Aurores boréales,Reykjavik
29,5557.0,Aventure,16,Chaud,Amis,Automne,Canadien,Romance,Queenstown
41,3150.0,Histoire,5,Désertique,Couple,Automne,Australien,Opéra,Sydney
51,1440.0,Culture,18,Désertique,Famille,Hiver,Brésilien,Opéra,Hanoï
36,3409.0,Nature,11,Tempéré,Famille,Printemps,Brésilien,Musique,Le Cap
58,,Cultuer,13,Chaud,Couple,Été,Indien,Histoire,Rome
21,2295.0,Plage,11,Froid,Couple,Hiver,Chinois,Musée,Amsterdam
64,6470.0,Ville,4,Tempéré,Amis,Été,Allemand,Musée,New York
51,2192.0,Gastronomie,12,Chaud,Solo,Été,Chinois,Musée,Paris
27,2663.0,Ville,3,Désertique,Couple,Hiver,Britannique,Histoire,Berlin
31,5394.0,Ville,9,Désertique,Famille,Été,Chinois,Romance,Dubai
18,6674.0,Aventure,11,Froid,Amis,Automne,Allemand,Ski,Queenstown
