Destination,Continent,Cout_de_la_Vie,Type_Destination
Paris,Europe,150,Urbaine
Tokyo,Asie,180,Urbaine
New York,Amérique du Nord,200,Urbaine
Bali,Asie,70,Tropicale
Rome,Europe,140,Historique
Le Caire,Afrique,60,Historique
Rio de Janeiro,Amérique du Sud,90,Festive
Sydney,Australie,170,Côtière
Barcelone,Europe,130,Côtière
Londres,Europe,160,Urbaine
Kyoto,Asie,170,Historique
Bangkok,Asie,80,Urbaine
Dubai,Asie,220,Luxueuse
Istanbul,Europe,110,Historique
Marrakech,Afrique,70,Culturelle
Reykjavik,Europe,190,Nature
Queenstown,Océanie,160,Aventure
Machu Picchu,Amérique du Sud,100,Historique
Santorin,Europe,180,Côtière
Prague,Europe,100,Historique
Amsterdam,Europe,140,Urbaine
Le Cap,Afrique,90,Nature
Buenos Aires,Amérique du Sud,80,Culturelle
Séoul,Asie,150,Urbaine
Hanoï,Asie,50,Culturelle
Venise,Europe,170,Historique
Mexico,Amérique du Nord,90,Culturelle
Lisbonne,Europe,110,Urbaine
Vienne,Europe,130,Culturelle
Berlin,Europe,120,Urbaine
